total_lines,num_functions,num_classes,num_imports,avg_func_length,max_func_length,avg_complexity,max_complexity,high_complexity_fns,maintainability,lines_per_function,num_nodes,num_edges,avg_degree,max_degree,graph_density,avg_shortest_path,clustering_coeff,deep_nesting_count,is_buggy,source,path
368,14,2,9,19.357142857142858,59,3.06,7,0,57.45,26.285714285714285,14,17,2.429,10,0.0934,2.275,0.338,0,0,flask,src/flask/config.py
180,7,4,9,19.857142857142858,55,4.11,13,1,56.75,25.714285714285715,11,12,2.182,5,0.1091,1.944,0.13,0,0,flask,src/flask/debughelpers.py
30,3,1,3,6.333333333333333,10,3.0,3,0,61.41,10.0,5,1,0.4,1,0.05,1.0,0.0,0,0,flask,examples/tutorial/tests/test_db.py
327,35,6,7,9.742857142857142,48,3.33,5,0,35.85,9.342857142857143,31,27,1.742,8,0.029,2.721,0.048,0,0,flask,tests/test_reqctx.py
211,29,1,3,6.310344827586207,22,3.14,10,0,43.99,7.275862068965517,22,2,0.182,2,0.0043,1.333,0.0,0,0,flask,tests/test_appctx.py
171,5,0,6,29.0,32,1.8,2,0,100.0,34.2,6,0,0.0,0,0.0,0.0,0.0,0,0,flask,src/flask/json/__init__.py
4,0,0,1,0.0,0,0.0,0,0,100.0,4.0,1,0,0.0,0,0.0,0.0,0.0,0,0,flask,tests/test_apps/subdomaintestmodule/__init__.py
5,0,0,1,0.0,0,0.0,0,0,100.0,5.0,1,0,0.0,0,0.0,0.0,0.0,0,0,flask,tests/test_apps/cliapp/multiapp.py
39,4,0,3,3.75,7,1.5,3,0,100.0,9.75,5,0,0.0,0,0.0,0.0,0.0,0,0,flask,examples/celery/src/task_app/views.py
70,5,0,3,7.4,13,3.0,5,0,71.57,14.0,6,0,0.0,0,0.0,0.0,0.0,0,0,flask,examples/tutorial/tests/test_auth.py
400,25,5,11,8.12,48,1.72,5,0,59.15,16.0,28,41,2.929,14,0.0542,2.557,0.362,0,0,flask,src/flask/sessions.py
192,6,2,4,13.833333333333334,49,4.5,7,0,60.69,32.0,7,6,1.714,3,0.1429,1.867,0.0,0,0,flask,src/flask/views.py
99,9,0,5,7.777777777777778,20,3.71,5,0,40.55,11.0,9,0,0.0,0,0.0,0.0,0.0,0,0,flask,tests/test_logging.py
14,3,0,1,1.0,1,1.0,1,0,100.0,4.666666666666667,4,0,0.0,0,0.0,0.0,0.0,0,0,flask,tests/test_apps/cliapp/factory.py
40,4,1,3,8.0,19,1.0,1,0,100.0,10.0,6,3,1.0,2,0.1,1.333,0.0,0,0,flask,examples/celery/src/task_app/__init__.py
63,7,1,5,3.7142857142857144,16,1.12,2,0,100.0,9.0,9,5,1.111,5,0.0694,1.667,0.0,0,0,flask,examples/tutorial/tests/conftest.py
15,2,0,1,1.0,1,1.0,1,0,100.0,7.5,3,0,0.0,0,0.0,0.0,0.0,0,0,flask,tests/test_apps/blueprintapp/apps/frontend/__init__.py
6,0,0,2,0.0,0,0.0,0,0,100.0,6.0,1,0,0.0,0,0.0,0.0,0.0,0,0,flask,examples/javascript/js_example/__init__.py
5,0,0,1,0.0,0,0.0,0,0,100.0,5.0,1,0,0.0,0,0.0,0.0,0.0,0,0,flask,examples/celery/make_celery.py
57,5,0,4,6.2,11,1.4,2,0,86.06,11.4,6,2,0.667,2,0.0667,1.333,0.0,0,0,flask,examples/tutorial/flaskr/db.py
216,11,2,11,10.272727272727273,26,2.38,7,0,58.28,19.636363636363637,11,16,2.909,8,0.1455,1.667,0.422,0,0,flask,src/flask/json/provider.py
102,2,0,4,13.0,25,3.0,5,0,64.6,51.0,3,0,0.0,0,0.0,0.0,0.0,0,0,flask,docs/conf.py
31,4,1,1,7.25,26,5.0,5,0,73.44,7.75,6,3,1.0,3,0.1,1.5,0.0,0,0,flask,tests/test_regression.py
33,6,0,2,0.3333333333333333,1,1.0,1,0,100.0,5.5,7,0,0.0,0,0.0,0.0,0.0,0,0,flask,tests/type_check/typing_app_decorators.py
126,5,0,4,18.0,29,2.8,4,0,65.22,25.2,6,2,0.667,2,0.0667,1.333,0.0,0,0,flask,examples/tutorial/flaskr/blog.py
43,7,2,2,5.571428571428571,18,2.5,3,0,55.55,6.142857142857143,8,5,1.25,3,0.0893,1.6,0.0,0,0,flask,tests/test_converters.py
3010,273,17,29,7.978021978021978,42,2.85,8,0,0.0,11.025641025641026,270,301,2.23,182,0.0041,2.814,0.021,0,1,requests,tests/test_requests.py
387,0,0,3,0.0,0,0.0,0,0,100.0,387.0,1,0,0.0,0,0.0,0.0,0.0,0,1,requests,docs/conf.py
1038,44,5,17,18.295454545454547,76,4.46,21,5,21.67,23.59090909090909,45,71,3.156,23,0.0359,2.853,0.307,0,1,requests,src/requests/models.py
